t,err_u,err_v,err_p,err_vitesse
0.1,0.000227913,0.0997936,0.000657105,0.0997938
0.15,0.000249379,0.149379,0.000652989,0.149379
0.2,0.00025434,0.19859,0.000647241,0.198591
0.25,0.000257114,0.247306,0.000639874,0.247306
0.3,0.000261274,0.295404,0.000630909,0.295404
0.35,0.000266818,0.342763,0.000620366,0.342763
0.4,0.000273191,0.389266,0.000608274,0.389266
0.45,0.000280019,0.434796,0.000594661,0.434796
0.5,0.00028711,0.479239,0.000579561,0.479239
0.55,0.000294353,0.522484,0.000563013,0.522484
0.6,0.000301664,0.564424,0.000545058,0.564424
0.65,0.000308964,0.604953,0.000525741,0.604953
0.7,0.00031618,0.64397,0.000505109,0.64397
0.75,0.000323244,0.681377,0.000483215,0.681377
0.8,0.000330091,0.717082,0.000460113,0.717082
0.85,0.000336665,0.750994,0.000435862,0.750994
0.9,0.000342915,0.783029,0.00041052,0.783029
0.95,0.000348794,0.813107,0.000384153,0.813107
1,0.00035426,0.841153,0.000356826,0.841153
