y,u1,u2
0,-2.30756e-33,-3.96566e-35
0.00333333,-0.00211969,2.21626e-06
0.00666667,-0.00421663,4.21524e-06
0.01,-0.00629084,5.99692e-06
0.0133333,-0.00834231,7.56131e-06
0.0166667,-0.010371,8.90841e-06
0.02,-0.012377,1.00382e-05
0.0233333,-0.0143603,1.09507e-05
0.0266667,-0.0163208,1.1646e-05
0.03,-0.0182586,1.21239e-05
0.0333333,-0.0201736,1.23845e-05
0.0366667,-0.0220659,1.24279e-05
0.04,-0.0239355,1.2254e-05
0.0433333,-0.0257823,1.18627e-05
0.0466667,-0.0276064,1.12542e-05
0.05,-0.0294077,1.04284e-05
0.0533333,-0.0311863,9.38529e-06
0.0566667,-0.0329422,8.12489e-06
0.06,-0.0346753,6.64721e-06
0.0633333,-0.0363857,4.95223e-06
0.0666667,-0.0380734,3.03996e-06
0.07,-0.0397383,9.10407e-07
0.0733333,-0.0413804,-1.43644e-06
0.0766667,-0.0429999,-4.00058e-06
0.08,-0.0445966,-6.78202e-06
0.0833333,-0.0461705,-9.78074e-06
0.0866667,-0.0477217,-1.29968e-05
0.09,-0.0492502,-1.64301e-05
0.0933333,-0.050756,-2.00807e-05
0.0966667,-0.052239,-2.39485e-05
0.1,-0.0536992,-2.80337e-05
0.103333,-0.0551604,-1.69361e-05
0.106667,-0.0566142,-6.46026e-06
0.11,-0.0580605,3.39376e-06
0.113333,-0.0594994,1.2626e-05
0.116667,-0.0609308,2.12364e-05
0.12,-0.0623548,2.9225e-05
0.123333,-0.0637713,3.65918e-05
0.126667,-0.0651804,4.33369e-05
0.13,-0.0665821,4.94601e-05
0.133333,-0.0679763,5.49615e-05
0.136667,-0.0693631,5.98411e-05
0.14,-0.0707425,6.40989e-05
0.143333,-0.0721144,6.77349e-05
0.146667,-0.0734788,7.07491e-05
0.15,-0.0748359,7.31415e-05
0.153333,-0.0761855,7.49121e-05
0.156667,-0.0775276,7.60609e-05
0.16,-0.0788623,7.65879e-05
0.163333,-0.0801896,7.64931e-05
0.166667,-0.0815094,7.57765e-05
0.17,-0.0828218,7.44381e-05
0.173333,-0.0841267,7.24779e-05
0.176667,-0.0854242,6.98958e-05
0.18,-0.0867143,6.6692e-05
0.183333,-0.0879969,6.28664e-05
0.186667,-0.0892721,5.8419e-05
0.19,-0.0905398,5.33498e-05
0.193333,-0.0918001,4.76587e-05
0.196667,-0.093053,4.13459e-05
0.2,-0.0942984,3.44113e-05
0.203333,-0.0955525,4.01647e-05
0.206667,-0.096804,4.55426e-05
0.21,-0.0980529,5.0545e-05
0.213333,-0.0992993,5.51719e-05
0.216667,-0.100543,5.94232e-05
0.22,-0.101784,6.32991e-05
0.223333,-0.103023,6.67994e-05
0.226667,-0.104259,6.99242e-05
0.23,-0.105492,7.26734e-05
0.233333,-0.106723,7.50472e-05
0.236667,-0.107951,7.70454e-05
0.24,-0.109176,7.86681e-05
0.243333,-0.110399,7.99152e-05
0.246667,-0.11162,8.07869e-05
0.25,-0.112837,8.1283e-05
0.253333,-0.114053,8.14036e-05
0.256667,-0.115265,8.11487e-05
0.26,-0.116475,8.05183e-05
0.263333,-0.117682,7.95123e-05
0.266667,-0.118887,7.81309e-05
0.27,-0.120089,7.63739e-05
0.273333,-0.121289,7.42414e-05
0.276667,-0.122486,7.17333e-05
0.28,-0.12368,6.88498e-05
0.283333,-0.124872,6.55907e-05
0.286667,-0.126061,6.19561e-05
0.29,-0.127248,5.79459e-05
0.293333,-0.128432,5.35603e-05
0.296667,-0.129613,4.87991e-05
0.3,-0.130792,4.36624e-05
0.303333,-0.131981,5.20904e-05
0.306667,-0.133163,5.99704e-05
0.31,-0.134339,6.73025e-05
0.313333,-0.135507,7.40865e-05
0.316667,-0.13667,8.03227e-05
0.32,-0.137825,8.60108e-05
0.323333,-0.138974,9.1151e-05
0.326667,-0.140116,9.57433e-05
0.33,-0.141251,9.97876e-05
0.333333,-0.14238,0.000103284
0.336667,-0.143502,0.000106232
0.34,-0.144618,0.000108633
0.343333,-0.145726,0.000110485
0.346667,-0.146828,0.00011179
0.35,-0.147924,0.000112546
0.353333,-0.149012,0.000112755
0.356667,-0.150094,0.000112415
0.36,-0.151169,0.000111528
0.363333,-0.152238,0.000110092
0.366667,-0.1533,0.000108109
0.37,-0.154355,0.000105578
0.373333,-0.155404,0.000102499
0.376667,-0.156446,9.88715e-05
0.38,-0.157481,9.46963e-05
0.383333,-0.158509,8.99732e-05
0.386667,-0.159531,8.47022e-05
0.39,-0.160546,7.88831e-05
0.393333,-0.161555,7.25161e-05
0.396667,-0.162557,6.56012e-05
0.4,-0.163552,5.81382e-05
0.403333,-0.164548,6.54379e-05
0.406667,-0.165523,7.2263e-05
0.41,-0.166475,7.86136e-05
0.413333,-0.167404,8.44896e-05
0.416667,-0.168312,8.98911e-05
0.42,-0.169197,9.48181e-05
0.423333,-0.17006,9.92706e-05
0.426667,-0.170901,0.000103249
0.43,-0.171719,0.000106752
0.433333,-0.172515,0.000109781
0.436667,-0.173289,0.000112335
0.44,-0.174041,0.000114415
0.443333,-0.17477,0.00011602
0.446667,-0.175477,0.000117151
0.45,-0.176162,0.000117807
0.453333,-0.176824,0.000117989
0.456667,-0.177464,0.000117696
0.46,-0.178082,0.000116929
0.463333,-0.178678,0.000115687
0.466667,-0.179251,0.00011397
0.47,-0.179803,0.000111779
0.473333,-0.180331,0.000109114
0.476667,-0.180838,0.000105974
0.48,-0.181322,0.000102359
0.483333,-0.181784,9.82704e-05
0.486667,-0.182224,9.37068e-05
0.49,-0.182642,8.86686e-05
0.493333,-0.183037,8.3156e-05
0.496667,-0.18341,7.71688e-05
0.5,-0.18376,7.07071e-05
0.503333,-0.184085,7.5576e-05
0.506667,-0.184357,7.99208e-05
0.51,-0.184575,8.37414e-05
0.513333,-0.184739,8.70378e-05
0.516667,-0.18485,8.981e-05
0.52,-0.184907,9.20581e-05
0.523333,-0.184911,9.3782e-05
0.526667,-0.184861,9.49817e-05
0.53,-0.184758,9.56573e-05
0.533333,-0.184601,9.58087e-05
0.536667,-0.18439,9.54359e-05
0.54,-0.184126,9.4539e-05
0.543333,-0.183808,9.31179e-05
0.546667,-0.183437,9.11726e-05
0.55,-0.183012,8.87032e-05
0.553333,-0.182534,8.57095e-05
0.556667,-0.182002,8.21918e-05
0.56,-0.181416,7.81498e-05
0.563333,-0.180777,7.35837e-05
0.566667,-0.180085,6.84934e-05
0.57,-0.179339,6.28789e-05
0.573333,-0.178539,5.67403e-05
0.576667,-0.177686,5.00775e-05
0.58,-0.176779,4.28905e-05
0.583333,-0.175819,3.51794e-05
0.586667,-0.174805,2.6944e-05
0.59,-0.173737,1.81846e-05
0.593333,-0.172616,8.9009e-06
0.596667,-0.171442,-9.06924e-07
0.6,-0.170214,-1.12389e-05
0.603333,-0.168917,-1.18653e-05
0.606667,-0.167516,-1.29159e-05
0.61,-0.166011,-1.43907e-05
0.613333,-0.164402,-1.62896e-05
0.616667,-0.162689,-1.86128e-05
0.62,-0.160872,-2.13601e-05
0.623333,-0.158951,-2.45317e-05
0.626667,-0.156926,-2.81274e-05
0.63,-0.154796,-3.21473e-05
0.633333,-0.152563,-3.65914e-05
0.636667,-0.150226,-4.14597e-05
0.64,-0.147785,-4.67522e-05
0.643333,-0.14524,-5.24689e-05
0.646667,-0.14259,-5.86098e-05
0.65,-0.139837,-6.51749e-05
0.653333,-0.13698,-7.21641e-05
0.656667,-0.134019,-7.95776e-05
0.66,-0.130953,-8.74152e-05
0.663333,-0.127784,-9.56771e-05
0.666667,-0.12451,-0.000104363
0.67,-0.121133,-0.000113473
0.673333,-0.117652,-0.000123008
0.676667,-0.114066,-0.000132966
0.68,-0.110377,-0.000143349
0.683333,-0.106583,-0.000154156
0.686667,-0.102685,-0.000165387
0.69,-0.0986839,-0.000177043
0.693333,-0.0945782,-0.000189122
0.696667,-0.0903686,-0.000201626
0.7,-0.0860549,-0.000214554
0.703333,-0.0815975,-0.000236474
0.706667,-0.0769775,-0.000256592
0.71,-0.0721951,-0.00027491
0.713333,-0.0672501,-0.000291427
0.716667,-0.0621427,-0.000306142
0.72,-0.0568728,-0.000319057
0.723333,-0.0514404,-0.000330171
0.726667,-0.0458455,-0.000339483
0.73,-0.0400881,-0.000346995
0.733333,-0.0341682,-0.000352706
0.736667,-0.0280858,-0.000356616
0.74,-0.021841,-0.000358724
0.743333,-0.0154336,-0.000359032
0.746667,-0.00886376,-0.000357539
0.75,-0.00213143,-0.000354245
0.753333,0.00476339,-0.000349149
0.756667,0.0118207,-0.000342253
0.76,0.0190405,-0.000333556
0.763333,0.0264228,-0.000323058
0.766667,0.0339676,-0.000310759
0.77,0.0416749,-0.000296659
0.773333,0.0495446,-0.000280757
0.776667,0.0575769,-0.000263055
0.78,0.0657716,-0.000243552
0.783333,0.0741289,-0.000222248
0.786667,0.0826486,-0.000199143
0.79,0.0913308,-0.000174237
0.793333,0.100176,-0.00014753
0.796667,0.109183,-0.000119022
0.8,0.118352,-8.87128e-05
0.803333,0.127766,-0.000121277
0.806667,0.13737,-0.000150433
0.81,0.147166,-0.000176183
0.813333,0.157152,-0.000198525
0.816667,0.16733,-0.000217461
0.82,0.177699,-0.000232989
0.823333,0.188258,-0.00024511
0.826667,0.199009,-0.000253823
0.83,0.209951,-0.00025913
0.833333,0.221085,-0.00026103
0.836667,0.232409,-0.000259522
0.84,0.243924,-0.000254607
0.843333,0.25563,-0.000246285
0.846667,0.267528,-0.000234556
0.85,0.279617,-0.00021942
0.853333,0.291896,-0.000200877
0.856667,0.304367,-0.000178926
0.86,0.317029,-0.000153568
0.863333,0.329882,-0.000124803
0.866667,0.342926,-9.26315e-05
0.87,0.356161,-5.70523e-05
0.873333,0.369587,-1.8066e-05
0.876667,0.383205,2.43274e-05
0.88,0.397013,7.0128e-05
0.883333,0.411012,0.000119336
0.886667,0.425203,0.000171951
0.89,0.439585,0.000227973
0.893333,0.454158,0.000287402
0.896667,0.468921,0.000350238
0.9,0.483876,0.000416482
0.903333,0.49909,0.000391318
0.906667,0.514442,0.000366932
0.91,0.52993,0.000343325
0.913333,0.545556,0.000320495
0.916667,0.561319,0.000298443
0.92,0.577219,0.00027717
0.923333,0.593257,0.000256674
0.926667,0.609431,0.000236956
0.93,0.625743,0.000218016
0.933333,0.642193,0.000199855
0.936667,0.658779,0.000182471
0.94,0.675503,0.000165865
0.943333,0.692364,0.000150038
0.946667,0.709362,0.000134988
0.95,0.726498,0.000120716
0.953333,0.74377,0.000107222
0.956667,0.76118,9.45066e-05
0.96,0.778728,8.25689e-05
0.963333,0.796412,7.14092e-05
0.966667,0.814234,6.10274e-05
0.97,0.832193,5.14237e-05
0.973333,0.850289,4.2598e-05
0.976667,0.868523,3.45502e-05
0.98,0.886893,2.72805e-05
0.983333,0.905401,2.07887e-05
0.986667,0.924047,1.5075e-05
0.99,0.942829,1.01393e-05
0.993333,0.961749,5.9815e-06
0.996667,0.980806,2.60175e-06
1,1,1.99275e-34
